id,lane,status,eyebrow,title,body,fact_1,fact_2,fact_3,x_copy,x_characters,source,art,png
01-world-01-one-life,01-world,LIVE,THE BLOODLINE,ONE LIFE. NO RESPAWNS.,Death is not a reset. It is a succession.,A living street can die,The estate survives the body,An heir inherits money and enemies,"OMERTÀ gives every street one life. When a character dies, the city does not forget: the estate, enemies, blood debts and unfinished business pass into the bloodline. No respawn button. A succession.",199,SPEC.md §3.8 · The Bloodline,public/art/card-legend.jpg,png/01-world/01-world-01-one-life.png
01-world-02-character,01-world,LIVE,CHARACTER CREATION,THE STATS ALWAYS ADD UP.,Your strengths are random. Your total is conserved.,Muscle · cunning · speed,Server-generated allocation,Build around the hand you drew,"Every OMERTÀ character gets a randomized stat spread, but the total is conserved. Nobody rolls a strictly better body. The question is what you do with the hand the city dealt you.",180,SPEC.md §3.1 · character creation,public/art/interior-start.jpg,png/01-world/01-world-02-character.png
01-world-03-paths,01-world,LIVE,SIX IDENTITIES,CHOOSE HOW YOU RISE.,"The Path changes the methods, not the existence of an ending.",Gun · Ledger · Kitchen,Wheel · Shadow · Ring,Specialist gates change outcomes,"Gun. Ledger. Kitchen. Wheel. Shadow. Ring. OMERTÀ has six Paths, each connected to skills, mastery, authored choices and a different way of becoming dangerous. Baseline routes remain open; specialists earn different methods.",224,AGENTS.md · Path Cases,public/art/gameplay-01-choose-your-path.png,png/01-world/01-world-03-paths.png
01-world-04-districts,01-world,LIVE,SIX DISTRICTS,THE CITY HAS GEOGRAPHY.,"Prices, stories, danger and opportunity change by district.",Travel costs time and cash,Markets are district-bound,Some cases require the right street,"OMERTÀ is not a menu with a skyline behind it. Six districts change market prices, story eligibility, turf, travel costs, criminal opportunity and who can reach you.",165,SPEC.md §3.1 · six districts,public/art/citymap.jpg,png/01-world/01-world-04-districts.png
01-world-05-crimes,01-world,LIVE,THE FIRST LOOP,29 CRIMES. THREE APPROACHES.,Case it. Take the standard play. Or go loud.,Risk changes with approach,"Nerve, heat and jail matter",Every roll is server-side,"There are 29 core crimes in OMERTÀ and three ways to approach them: case it, standard, or go loud. More nerve can mean more reward. More heat can mean a cell. The server owns every roll.",186,SPEC.md §3.1 · core loop,public/art/crime-armored.jpg,png/01-world/01-world-05-crimes.png
01-world-06-coach,01-world,LIVE,THE FIRST WEEK,THE CITY TELLS YOU WHAT MATTERS.,"A coach, missions, daily contracts and verified onboarding keep the street moving.",One highest-value next step,Daily Score and missions,Server-verified First Week,"The first week is a guided climb, not a blank spreadsheet. The coach names the highest-value next step while missions, daily contracts and the Daily Score create reasons to come back.",183,SPEC.md §3.4 · growth and retention,public/art/interior-life.jpg,png/01-world/01-world-06-coach.png
01-world-07-skills,01-world,LIVE,THE SKILL TREE,SPECIALIZE. THEN GO DEEPER.,"Nine skills, capstones, respec, prestige and grandmastery.",3×3 progression tree,Tier-four active capstones,Prestige carries hard-earned depth,"OMERTÀ’s skill system is a 3×3 tree with active capstones, per-skill respec, prestige carry and grandmastery. A build is a history of work, not a cosmetic loadout.",163,SPEC.md §3.8 · Skills,public/art/gameplay-08-character-blueprint.png,png/01-world/01-world-07-skills.png
01-world-08-underworld,01-world,LIVE,SIX FIXTURES,THE UNDERWORLD KNOWS YOUR NAME.,"Standing decays. Favors, gifts, grudges and penance keep the relationships alive.",Daily leads and streaks,Weekly favors and errand chains,The Long Count campaign,"The Underworld is six named fixtures with standing that decays, daily leads, weekly favors, rivalries, grudges, penance and chained errands. Relationships are another economy.",175,SPEC.md §3.8 · The Underworld,public/art/interior-speakeasy.jpg,png/01-world/01-world-08-underworld.png
01-world-09-standing,01-world,LIVE,REPUTATION,HONOR. INFAMY. STANDING.,The city measures more than cash.,City Standing is the spine,Legends mark mastery,Reputation changes access,"Net worth is only one way to be somebody. Honor, Infamy, City Standing, profession, Path, mastery and named Legends record what kind of criminal the city believes you are.",171,SPEC.md §3.8 · Honor & Infamy,public/art/card-wanted.jpg,png/01-world/01-world-09-standing.png
01-world-10-garage,01-world,LIVE,THE GARAGE,SIXTY CARS. NONE ARE JUST SKINS.,"Boost, repair, melt, fence and risk the machine.",60-car catalog,Condition and repair matter,Vehicles enter multiple economies,"OMERTÀ’s garage holds a 60-car catalog with boosting, condition, repair, melting and fencing. Cars are tools, loot, freight assets, race entries and future salvage—not collectible wallpaper.",190,SPEC.md §3.1 · Garage,public/art/interior-garage.jpg,png/01-world/01-world-10-garage.png
