"group","title","position","text","asset","alt","weighted_length"
"01-city-treasury","The city has a treasury.","1","1/8 The city has a treasury.

OMERTÀ Market V2 puts liquidity, reserves, inventory bonds and family Turf around a new Uniswap v4 market.

Built and tested locally. Not deployed or funded.

Here is how the books work.","png/01-city-treasury.png","OMERTÀ Market V2. The city has a treasury. A miniature noir city inside an open bank vault. Built and tested; not deployed.","216"
"01-city-treasury","The city has a treasury.","2","2/8 Seven compartments. Seven jobs.

Core. Lower Cushion. Garrison. Upper Cushion. Desk. War Chest. Turf.

Liquidity, trading inventory and idle reserves each have a place in the books. Each operates within fixed limits.","png/05-seven-compartments.png","The seven Market V2 compartments: Core, Lower Cushion, Garrison, Upper Cushion, Desk, War Chest and Turf. Finite capital with distinct roles.","220"
"01-city-treasury","The city has a treasury.","3","3/8 The canonical ETH/OMR pool keeps a 9% base sell fee:

2% developer
1.6% RWA recipient
2.4% community
3% protocol-owned liquidity

The destination is part of the contract. LP fees are separate.","png/04-tax-map.png","Canonical pool base sell fee: 2% developer, 1.6% RWA recipient, 2.4% community and 3% POL, totaling 9%. An additional 0 to 1% sell surge goes to stability. LP fees are separate.","196"
"01-city-treasury","The city has a treasury.","4","4/8 Sell-driven tick pressure can add a 0-1% surge, paid entirely to stability. Pressure decays over time.

The hook sell fee tops out at 10%, before separate LP fees.

This is canonical pool policy. It does not tax every OMR venue.","","","232"
"01-city-treasury","The city has a treasury.","5","5/8 Opening night has a clock.

A finite anti-snipe window can apply a bounded temporary buy fee and an optional quote-size cap per swap.

The administrator cannot extend the window. Splitting trades remains possible.","","","217"
"01-city-treasury","The city has a treasury.","6","6/8 The hook settles swaps and records measurements.

Companion contracts hold capital, manage reserve positions, vest inventory bonds and account for family fees.

Each authority has a defined job. Each balance has an owner.","","","225"
"01-city-treasury","The city has a treasury.","7","7/8 The city gets something to contest: future funded LP fee rights tied to seasonal Turf.

Families can contest those rights. They cannot take the underlying liquidity principal.

The distinction is written into custody.","png/08-fee-rights.png","Family Turf controls future funded LP fee entitlements. Protocol-owned liquidity principal remains outside family control. Historical fees stay with their recorded recipients.","221"
"01-city-treasury","The city has a treasury.","8","8/8 The city has a treasury. The contracts now have to earn their place in it.

Market V2 is built and tested locally, not deployed or funded. Chain rehearsal, production integration and launch acceptance remain ahead.

Follow the build. @OmertaOnRH","","","249"
"02-reserve-desk","Capital with orders.","1","1/8 Capital with orders.

OMERTÀ Market V2 gives the reserve a finite balance, separate compartments and rules for each move.

The contracts are built and tested locally. Not deployed or funded.

Inside the reserve desk:","png/02-reserve-desk.png","OMERTÀ Market V2. Capital with orders. A noir treasury desk with seven ledger compartments. Seven compartments, finite budgets. Built and tested; not deployed.","220"
"02-reserve-desk","Capital with orders.","2","2/8 Core holds two-sided liquidity. Lower Cushion and Garrison commit ETH against OMR selling. Upper Cushion and Desk supply OMR into buying.

War Chest holds idle reserves. Turf holds a fixed seasonal range.","png/05-seven-compartments.png","Seven distinct compartments organize two-sided liquidity, downside ETH inventory, upside OMR inventory, idle reserves and fixed seasonal Turf.","208"
