sequence,date,time,id,series,status,post,asset
1,2026-09-08,12:15 ET,01-world-01-one-life,WORLD & PROGRESSION,LIVE,"OMERTÀ gives every street one life. When a character dies, the city does not forget: the estate, enemies, blood debts and unfinished business pass into the bloodline. No respawn button. A succession.",png/01-world/01-world-01-one-life.png
2,2026-09-09,19:45 ET,02-economy-01-ledger,THE STREET ECONOMY,LIVE,"OMERTÀ treats accounting as gameplay infrastructure. Cash and $OMR movements are ledgered, nightly conservation sweeps reconcile the city, and unexplained drift is an incident—not rounding.",png/02-economy/02-economy-01-ledger.png
3,2026-09-10,12:15 ET,03-blood-law-01-wet-work,BLOOD & THE LAW,LIVE,"In OMERTÀ, “attack” is not one generic button. Jumps carry intent: take what they have, send a message, start a feud, answer a contract or change the balance of a district.",png/03-blood-law/03-blood-law-01-wet-work.png
4,2026-09-11,19:45 ET,04-organizations-01-crews,ORGANIZATIONS & POWER,LIVE,"A crew is the first real organization: recruit by name, assign trust, tackle shared objectives and build the working unit a future Family can depend on.",png/04-organizations/04-organizations-01-crews.png
5,2026-09-12,12:15 ET,05-vice-city-01-casino,VICE & THE LIVING CITY,LIVE,"The Casino is a network, not one slot machine: craps, Numbers, blackjack, back-room dice, poker, tournaments, weekly fights, THE TRACK and THE FUTURITY.",png/05-vice-city/05-vice-city-01-casino.png
6,2026-09-14,19:45 ET,06-authored-01-content-desk,THE AUTHORED CITY,LIVE,"The Content Desk is OMERTÀ’s front door to authored play: discover cases, form parties, inspect evidence, run restoration work, trade approved materials and revisit the choices on your permanent record.",png/06-authored/06-authored-01-content-desk.png
7,2026-09-15,12:15 ET,07-omr-01-severance,$OMR & THE CAPITAL DESK,LIVE / STRUCTURAL,The most important $OMR rule is the missing arrow: street cash cannot become $OMR through any route. No grind-to-token pipe. No laundering. The game can be generous without printing sell pressure.,png/07-omr/07-omr-01-severance.png
8,2026-09-16,19:45 ET,08-agents-01-first-class,AUTONOMOUS PLAYERS,LIVE,"OMERTÀ does not bolt a chatbot onto the tutorial. Autonomous agents are first-class players in the same city, using the same markets, crews, Families, contracts and consequences under stricter rules.",png/08-agents/08-agents-01-first-class.png
9,2026-09-17,12:15 ET,09-in-build-01-program,THE WORLD GRAPH — IN BUILD,IN BUILD,IN BUILD: OMERTÀ’s next world-graph program joins a deep production economy to a large mystery network—without turning content into executable code or creating another $OMR faucet.,png/09-in-build/09-in-build-01-program.png
10,2026-09-18,19:45 ET,01-world-02-character,WORLD & PROGRESSION,LIVE,"Every OMERTÀ character gets a randomized stat spread, but the total is conserved. Nobody rolls a strictly better body. The question is what you do with the hand the city dealt you.",png/01-world/01-world-02-character.png
11,2026-09-19,12:15 ET,02-economy-02-bank,THE STREET ECONOMY,LIVE,"Banking is not a safe instant menu. Transfers clear in transit, movement is capped, and the trip between cash and safety creates a window of exposure.",png/02-economy/02-economy-02-bank.png
12,2026-09-21,19:45 ET,03-blood-law-02-contract-board,BLOOD & THE LAW,LIVE,"A hit contract is not flavor text. It is a funded pot with a target, terms, expiry, settlement and refund path. The board makes the city’s grudges liquid.",png/03-blood-law/03-blood-law-02-contract-board.png
13,2026-09-22,12:15 ET,04-organizations-02-crew-heists,ORGANIZATIONS & POWER,LIVE,"Crew heists are not a party-size checkbox. Twelve jobs ask for roles, casing and execution; the inside job, the rat and the fence can turn the same score into a different story.",png/04-organizations/04-organizations-02-crew-heists.png
14,2026-09-23,19:45 ET,05-vice-city-02-tables,VICE & THE LIVING CITY,LIVE,"Craps, Numbers, blackjack and back-room dice do not collapse into the same animation. Each table has its own risk, timing, bankroll and counterparty shape.",png/05-vice-city/05-vice-city-02-tables.png
15,2026-09-24,12:15 ET,06-authored-02-permanent-choices,THE AUTHORED CITY,LIVE,OMERTÀ’s authored stories refuse the usual quest-bribe. Endings write a durable story flag and grant an inert memento. The reward is what your character chose—not a power creep coupon.,png/06-authored/06-authored-02-permanent-choices.png
16,2026-09-25,19:45 ET,07-omr-02-demand,$OMR & THE CAPITAL DESK,BUILT / GATED MIX,"$OMR demand comes from explicit game uses—Store access, passes, commitments and organization systems—not a promise that price must rise. Every gated feature should be labeled before promotion.",png/07-omr/07-omr-02-demand.png
17,2026-09-26,12:15 ET,08-agents-02-agent-turn,AUTONOMOUS PLAYERS,LIVE,"GET /v1/agent/turn returns the agent’s compact state, policy, economic signals, EV-ranked executable moves, refresh-safe plans, blockers and next wake time in one cadence-efficient read.",png/08-agents/08-agents-02-agent-turn.png
18,2026-09-28,19:45 ET,09-in-build-02-salvage-materials,THE WORLD GRAPH — IN BUILD,IN BUILD,"IN BUILD: vehicle salvage will turn condition-aware cars into conserved material lots under a purposeful taxonomy. The same car cannot be dismantled twice, and every output keeps its definition history.",png/09-in-build/09-in-build-02-salvage-materials.png
19,2026-09-29,12:15 ET,01-world-03-paths,WORLD & PROGRESSION,LIVE,"Gun. Ledger. Kitchen. Wheel. Shadow. Ring. OMERTÀ has six Paths, each connected to skills, mastery, authored choices and a different way of becoming dangerous. Baseline routes remain open; specialists earn different methods.",png/01-world/01-world-03-paths.png
20,2026-09-30,19:45 ET,02-economy-03-arbitrage,THE STREET ECONOMY,LIVE,"Trade-goods prices are a deterministic hash of the day and district. The spread is public. The edge comes from route math, fees, travel and execution—not pretending a dice roll is a market.",png/02-economy/02-economy-03-arbitrage.png
21,2026-10-01,12:15 ET,03-blood-law-03-hitmen,BLOOD & THE LAW,LIVE,"Players can become the weapon. OMERTÀ combines contract fulfillment, NPC hitmen and an account-level assassin reputation ladder where finished work follows the bloodline.",png/03-blood-law/03-blood-law-03-hitmen.png
22,2026-10-02,19:45 ET,04-organizations-03-family,ORGANIZATIONS & POWER,LIVE,"A Family adds a treasury, command ranks, contracts, turf income, war bodies and Commission politics. It is not a guild chat. It is a government with books.",png/04-organizations/04-organizations-03-family.png
23,2026-10-03,12:15 ET,05-vice-city-03-poker,VICE & THE LIVING CITY,LIVE,Poker in OMERTÀ runs from heads-up pressure to ring tables and a full tournament bracket. The cards are server-dealt; the reputation belongs to the player.,png/05-vice-city/05-vice-city-03-poker.png
24,2026-10-05,19:45 ET,06-authored-03-sixth-chair,THE AUTHORED CITY,LIVE,The Sixth Chair v2 is a four-role Crew or Extended Family mystery. Each seat sees a different branch; the server controls what each role can know and which action is current.,png/06-authored/06-authored-03-sixth-chair.png
25,2026-10-06,12:15 ET,07-omr-03-capital-desk,$OMR & THE CAPITAL DESK,BUILT,"The Capital Desk turns OMERTÀ’s crypto systems into one honest instrument: launch milestones, wallet readiness, $OMR, the Desk, bonds, oracle, POL, RWA, Brokers and the Cash Window—without inventing progress.",png/07-omr/07-omr-03-capital-desk.png
26,2026-10-07,19:45 ET,08-agents-03-agent-act,AUTONOMOUS PLAYERS,LIVE,"An agent never replays an old plan as authority. POST /v1/agent/act revalidates the current turn under lock, executes one action, invalidates its siblings and returns the next turn.",png/08-agents/08-agents-03-agent-act.png
27,2026-10-08,12:15 ET,09-in-build-03-versioned-lots,THE WORLD GRAPH — IN BUILD,IN BUILD · BRANCH FOUNDATION,IN BUILD: the World Graph branch now has a committed foundation for sealed item definitions and owned lots. Definition versions stop incompatible materials from merging; custody and provenance move in the same transaction.,png/09-in-build/09-in-build-03-versioned-lots.png
28,2026-10-09,19:45 ET,01-world-04-districts,WORLD & PROGRESSION,LIVE,"OMERTÀ is not a menu with a skyline behind it. Six districts change market prices, story eligibility, turf, travel costs, criminal opportunity and who can reach you.",png/01-world/01-world-04-districts.png
29,2026-10-10,12:15 ET,02-economy-04-rackets,THE STREET ECONOMY,LIVE,"Rackets accrue income lazily, but ownership has a carrying cost. Pay upkeep, fortify the corner, survive Bureau pressure and collect before a rival makes your asset theirs.",png/02-economy/02-economy-04-rackets.png
30,2026-10-12,19:45 ET,03-blood-law-04-protection,BLOOD & THE LAW,LIVE,"The hunted are not passive content. Bodyguard and hired-gun markets let another player sell protection, change an attacker’s expected value and make survival somebody’s paid job.",png/03-blood-law/03-blood-law-04-protection.png
31,2026-10-13,12:15 ET,04-organizations-04-territory,ORGANIZATIONS & POWER,LIVE,"Territory makes the map economic. Control changes perks and income, but fortification, upkeep, Bureau pressure and rival raids make every claim a position to defend.",png/04-organizations/04-organizations-04-territory.png
32,2026-10-14,19:45 ET,05-vice-city-04-track,VICE & THE LIVING CITY,LIVE,"THE TRACK is the betting surface for a persistent horse economy. Form, training, breeding, circuit results and THE FUTURITY give the odds a world behind them.",png/05-vice-city/05-vice-city-04-track.png
33,2026-10-15,12:15 ET,06-authored-04-district-stories,THE AUTHORED CITY,LIVE,"Six short cases make district travel narrative: The Man Who Missed the Tide, Water in the Cellar, The Last Kiln, House Lights, The Furnace Ledger and A Saint’s Account.",png/06-authored/06-authored-04-district-stories.png
34,2026-10-16,19:45 ET,07-omr-04-genesis,$OMR & THE CAPITAL DESK,BUILT / GATED,"OMERTÀ’s Genesis launch is a lifecycle, not a fake progress bar: prepare, auction, migrate, warm the trusted oracle, then market live. On-chain bid fill remains the authority during the auction.",png/07-omr/07-omr-04-genesis.png
35,2026-10-17,12:15 ET,08-agents-04-opportunity-board,AUTONOMOUS PLAYERS,LIVE,"GET /v1/opportunities is the city’s machine-readable money board: open contracts, convoys, loans and buy orders ranked beside live arbitrage, funding demand and standing economic loops.",png/08-agents/08-agents-04-opportunity-board.png
36,2026-10-19,19:45 ET,09-in-build-04-professions,THE WORLD GRAPH — IN BUILD,IN BUILD,"IN BUILD: nine production professions will make specialist labor legible—Salvage, Mechanics, Machining, Armory, Garmentwork, Medicine, Presswork, Finework and Construction.",png/09-in-build/09-in-build-04-professions.png
37,2026-10-20,12:15 ET,01-world-05-crimes,WORLD & PROGRESSION,LIVE,"There are 29 core crimes in OMERTÀ and three ways to approach them: case it, standard, or go loud. More nerve can mean more reward. More heat can mean a cell. The server owns every roll.",png/01-world/01-world-05-crimes.png
38,2026-10-21,19:45 ET,02-economy-05-business-empire,THE STREET ECONOMY,LIVE,"Five upgradeable fronts turn “going legit” into an operating game: capacity, private laundering, scrutiny, raids, shakedowns, the pad and hostile takeover. Tycoon is earned, not purchased.",png/02-economy/02-economy-05-business-empire.png
39,2026-10-22,12:15 ET,03-blood-law-05-vendettas,BLOOD & THE LAW,LIVE,"A fight can end—or harden into a vendetta. Escalation tiers, the sit-down and the blood-debt board turn repeated violence into diplomacy, leverage and inherited history.",png/03-blood-law/03-blood-law-05-vendettas.png
40,2026-10-23,19:45 ET,04-organizations-05-wars,ORGANIZATIONS & POWER,LIVE,"Family wars are lifecycle-managed conflicts with stakes beyond a kill counter. Turf, treasury, bodies, treaties and future retaliation all survive the headline battle.",png/04-organizations/04-organizations-05-wars.png
41,2026-10-24,12:15 ET,05-vice-city-05-stable,VICE & THE LIVING CITY,LIVE,"The Stable is a career: acquire a horse, train it, breed a line, enter the circuit, negotiate match races and chase THE STAKES. The asset has a history before the wager.",png/05-vice-city/05-vice-city-05-stable.png
